%  columns="iteration, evaluation, sigma, max axis length, min axis length, all principal axes lengths (sorted square roots of eigenvalues of C)" (startseed=210461, 2015/05/9 19:27:29.62)
57 685 1.764153e+01 8.849751e-01 1.820952e-04 1.820952e-04 3.221560e-04 3.653116e-04 4.002414e-04 4.197941e-04 4.382681e-04 4.621569e-04 4.983059e-04 1.284702e-03 7.519803e-03 1.237571e-02 1.547406e-02 6.221914e-02 1.017716e-01 3.598635e-01 4.452070e-01 7.241915e-01 8.849751e-01 
58 697 1.763512e+01 8.826112e-01 1.801884e-04 1.801884e-04 3.232597e-04 3.684516e-04 4.083012e-04 4.209490e-04 4.361101e-04 4.651749e-04 4.943261e-04 1.279927e-03 7.570138e-03 1.210049e-02 1.541495e-02 6.201842e-02 1.016722e-01 3.601155e-01 4.423511e-01 7.229089e-01 8.826112e-01 
59 709 1.696396e+01 8.763637e-01 1.769544e-04 1.769544e-04 3.214131e-04 3.698124e-04 4.099397e-04 4.190798e-04 4.320275e-04 4.660363e-04 4.987565e-04 1.270819e-03 7.563092e-03 1.201268e-02 1.520191e-02 6.225082e-02 1.011565e-01 3.599251e-01 4.406656e-01 7.204516e-01 8.763637e-01 
60 721 1.636741e+01 8.685379e-01 1.749484e-04 1.749484e-04 3.219256e-04 3.729196e-04 4.131037e-04 4.179300e-04 4.304623e-04 4.628635e-04 5.041416e-04 1.268104e-03 7.544280e-03 1.188004e-02 1.516195e-02 6.198839e-02 1.005583e-01 3.573716e-01 4.368576e-01 7.176683e-01 8.685379e-01 
61 733 1.657877e+01 8.664674e-01 1.729037e-04 1.729037e-04 3.202705e-04 3.739787e-04 4.094095e-04 4.182624e-04 4.286782e-04 4.670316e-04 5.073993e-04 1.273738e-03 7.517302e-03 1.188104e-02 1.542851e-02 6.184932e-02 1.010694e-01 3.557315e-01 4.406467e-01 7.124730e-01 8.664674e-01 
62 745 1.658757e+01 8.617806e-01 1.706792e-04 1.706792e-04 3.199036e-04 3.742117e-04 4.124364e-04 4.137970e-04 4.249830e-04 4.669031e-04 5.095070e-04 1.295355e-03 7.481538e-03 1.186357e-02 1.538825e-02 6.126490e-02 1.008789e-01 3.529334e-01 4.380538e-01 7.092446e-01 8.617806e-01 
63 757 1.627790e+01 8.608996e-01 1.690492e-04 1.690492e-04 3.218345e-04 3.778255e-04 4.107209e-04 4.138699e-04 4.225716e-04 4.621016e-04 5.071354e-04 1.300235e-03 7.533172e-03 1.185766e-02 1.525415e-02 6.108574e-02 1.008011e-01 3.520000e-01 4.359756e-01 7.064600e-01 8.608996e-01 
64 769 1.607746e+01 8.567270e-01 1.669578e-04 1.669578e-04 3.215844e-04 3.774968e-04 4.102545e-04 4.130074e-04 4.240183e-04 4.674200e-04 5.061398e-04 1.301886e-03 7.515667e-03 1.176755e-02 1.521249e-02 6.092828e-02 1.006344e-01 3.502329e-01 4.280631e-01 7.076888e-01 8.567270e-01 
65 781 1.537178e+01 8.496623e-01 1.660544e-04 1.660544e-04 3.225368e-04 3.779370e-04 4.080422e-04 4.112897e-04 4.262705e-04 4.708535e-04 5.065618e-04 1.297489e-03 7.490774e-03 1.165770e-02 1.515983e-02 6.088169e-02 1.016377e-01 3.464974e-01 4.308549e-01 7.036370e-01 8.496623e-01 
66 793 1.512758e+01 8.558693e-01 1.644108e-04 1.644108e-04 3.208013e-04 3.756065e-04 4.071098e-04 4.099222e-04 4.267206e-04 4.716543e-04 5.083738e-04 1.297527e-03 7.468623e-03 1.161469e-02 1.539597e-02 5.997369e-02 1.026854e-01 3.422269e-01 4.320907e-01 7.065979e-01 8.558693e-01 
